ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12565,"대성","구로동",11530,A15284302,"구로대성스카이렉스",1995,2006,11,160,"서울특별시 구로구 구로동 107-1 구로대성스카이렉스",검토필요,
12667,"초원","안양동",41171,A43182909,"초원부영",2003,1992,11,1743,"경기도 안양동안구 평촌동 896-6 초원부영",검토필요,
6859,"주공2","가좌동",28260,A66078904,"진주가좌주공2아파트",1983,1993,10,1530,"경상남도 진주시 가좌동 660 진주가좌주공2아파트",검토필요,
7157,"현대아파트","서초동",11650,A13772801,"서초현대아파트",1989,1999,10,299,"서울특별시 서초구 서초동 1648-2 서초현대아파트",검토필요,
8351,"낙성대현대아파트","봉천동",11620,A10020559,"낙성대현대아파트",1988,1998,10,122,"서울특별시 관악구 봉천동 296- 낙성대현대아파트",검토필요,
9010,"쌍용","월계동",29200,A13991017,"월계초안산쌍용",1996,2006,10,225,"서울특별시 노원구 월계동 945 월계초안산쌍용",검토필요,
11060,"화신","괴정동",26380,A60481002,"신괴정화신맨션아파트",1980,1990,10,270,"부산광역시 사하구 괴정동 398-23 신괴정화신맨션아파트",검토필요,
11250,"예뜰채","가정동",28260,A40423002,"예뜰채",2007,2017,10,93,"인천광역시 서구 가정동 523-2 예뜰채",검토필요,
11818,"동아","둔촌동",11740,A13406204,"둔촌신동아",1992,2002,10,357,"서울특별시 강동구 둔촌동 555 둔촌신동아",검토필요,
12252,"남산그린","남산동",26410,A70044004,"남산그린타운",1995,2005,10,804,"대구광역시 중구 남산동 2937-1 남산그린타운",검토필요,
12423,"한라","신정동",31140,A68083106,"한라백조",1983,1993,10,285,"울산광역시 남구 신정동 872-55 한라백조",검토필요,
12474,"수명","신월동",11470,A15809502,"수명산롯데캐슬",1998,2008,10,215,"서울특별시 양천구 신월동 1036 수명산롯데캐슬",검토필요,
12590,"양재","양재동",11650,A13789203,"양재우성",2001,1991,10,848,"서울특별시 서초구 양재동 137-1 양재우성",검토필요,
